hkp: 0.5             f
hkd: 5
------------DATA COLLECTION------------

Desi2ed Heading |       Actual Heading  |       Time (ms)
45              |       59              |       800
45              |       59              |
                                         1200
45              |       59              |       1600
45              |       59              |       2000
45              |       59              |       2400
45              |       59              |       2800
45              |       59              |       3200
45              |       59              |       3600
45              |       59              |       4000
45              |       59              |       4400
45              |       59              |       4800
45              |       59              |       5200
45              |       59              |       5600
45              |       59              |       6000
45              |       59              |       6400
45              |       59              |       6800
45              |       40              |       7200
45              |       30              |       7600
45              |       45              |       8000
45              |       69              |       8400
45              |       42              |       9200
45              |       46              |       9600
45              |       57              |       10000
45              |       59              |       10400
45              |       54              |       10800
45              |       45              |       11200
45              |       44              |       11600
45              |       51              |       12400
45              |       51
                                |       12800
45              |       48              |       13200
45              |       32              |       13600
45              |       37              |       14000
45              |       61              |       14400
45              |       63              |       14800
45              |       53              |       15200
45              |       40              |       15600
45              |       48              |       16000
45              |       55              |       16400
45              |       55              |       16800
45              |       51              |       17200
45              |       47              |       17600
45              |       45              |       18000
45              |       47              |       18400
45              |       48              |       18800
45              |       49              |       19200
45              |       46              |       20000
