hkp: 1.0         f
hkd: 0
------------DATA COLLECTION------------

Desired Heading |       Actual Heading  |       Time (ms)
45              |       42              |       400
45              |       322             |       800
45              |       296             |       1200
45              |       227             |       2000
45              |       118             |       2400
45              |       234             |       2800
45              |       276             |       3200
45              |       23              |       3600
45              |       121             |       4000
45              |       256             |       4400
45              |       317             |       4800
45              |       74              |       5200
45              |       174             |       5600
45              |       282             |       6000
45              |       18              |       6400
45              |       121             |       6800
45              |       202             |       7200
45              |       231             |       7600
45              |       210             |       8000
45              |       203             |       8400
