hkp: 0.4             f
hkd: 6
------------DATA COLLECTION------------

Desired Heading |       Actual Heading  |       Time (ms)
45              |       139             |       400
45              |       124             |       800
45              |       93              |       1200
45              |       105             |       1600
45              |       121             |       2000
45              |       100             |       2400
45              |       80              |       2800
45              |       73              |       3200
45              |       74              |       3600
45              |       76              |       4000
45              |       71              |       4400
45              |       65              |       4800
45              |       60              |       5200
45              |       59              |       5600
45              |       58              |       6000
45              |       58              |       6400
45              |       59              |       6800
45              |       58              |       7200
45              |       58              |       7600
45              |       32              |       8000
45              |       26              |       8400
45              |       50              |       8800
45              |       71              |       9200
45              |       60              |       9600
45              |       45              |       10000
45              |       53              |       10400
45              |       67              |       10800
45              |       56              |       11200
45              |       49              |       11600
45              |       54              |       12000
45              |       60              |       12400
45              |       59              |       12800
45              |       54              |       13200
45              |       50              |       13600
45              |       50              |       14000
45              |       50              |       14400
45              |       40              |       14800
45              |       29              |       15200
45              |       55              |       15600
45              |       68              |       16000
45              |       54              |       16400
45              |       47              |       16800
45              |       56              |       17200
45              |       59              |       17600
45              |       54              |       18000
45              |       49              |       18400
45              |       49              |       18800
45              |       55              |       19600
45              |       51              |       20000
