hkp: 0.2              f
hkd: 10
------------DATA COLLECTION------------

Desired Heading |       Actual Heading  |       Time (ms)
45              |       144             |       400
45              |       153             |       800
45              |       139             |       1200
45              |       126             |       1600
45              |       148             |       2000
45              |       160             |       2400
45              |       146             |       2800
45              |       131             |       3200
45              |       147             |       3600
45              |       157             |       4000
45              |       136             |       4400
45              |       96              |       4800
45              |       84              |       5200
45              |       57              |       5600
45              |       57              |       6000
45              |       89              |       6400
45              |       85              |       6800
45              |       74              |       7200
45              |       75              |       7600
45              |       93              |       8000
45              |       90              |       8400
45              |       81              |       8800
45              |       89              |       9200
45              |       94              |       9600
45              |       79              |       10000
45              |       75              |       10400
45              |       93              |       10800
45              |       91              |       11200
45              |       76              |       11600
45              |       80              |       12000
45              |       97              |       12400
45              |       89              |       12800
45              |       81              |       13200
45              |       95              |       13600
45              |       92              |       14000
45              |       77              |       14400
45              |       83              |       14800
45              |       95              |       15200
45              |       87              |       15600
45              |       78              |       16000
45              |       92              |       16400
45              |       96              |       16800
45              |       87              |       17200
45              |       81              |       17600
45              |       98              |       18000
45              |       97              |       18400
45              |       83              |       18800
45              |       87              |       19200
45              |       98              |       19600
45              |       89              |       20000
45              |       81              |       20400
45              |       91              |       20800
45              |       93              |       21200
45              |       82              |       21600
45              |       95              |       22400
45              |       87              |       22800
45              |       78              |       23200
45              |       89              |       23600
45              |       94              |       24000
45              |       84              |       24400
45              |       80              |       24800
45              |       97              |       25200
45              |       90              |       25600
45              |       83              |       26000
