hkp: 1.0             f
hkd: 5
45----------DATA|COLLECT145-----        |       800
45              |       81              |       1200
45              |       60              |       2000
45              |       80              |       2400
45              |       78              |       2800
45              |       36              |       3600
45              |       83              |       4400
45              |       47              |©      5200
45              |       36              |       5600
45              |       66              |       6000
45              |       80              |       6400
45              |       65              |       6800
45              |       46              |       7200
45              |       73              |       8000
45              |       79              |       8400
45              |       53              |       8800
45              |       33              |       9200
45              |       42              |       9600
45              |       79              |       10000
45              |       84              |       10400
45              |       61              |       10800
45              |       38              |       11200
45              |       72              |       12000
45              |       52              |       12800
45              |       66              |       13600
45              |       55              |       14400
45              |       56              |       15200
45              |       65              |       15600
45              |       55              |       16000
45              |       47              |       16800Ë%
45              |       50              |       20400
45              |       44              |       21600
45              |       56              |       23200
45              |       36              |       23600
45              |       69              |       24400
45              |       36              |       25200
45              |       71              |       26000
45              |       48              |       26800
45              |       59              |       27600
45              |       56©·            |       30000
45              |       41              |       30400
45              |       44              |       30800
45              |       59              |       31200
45              |       57              |       31600
45              |       40              |       32400
45              |       57              |       33200
45              |       50              |       33600
45              |       38              |       34000
45              |       54              |       34800
45              |       43              |       36400
