hkp: 0.8               u
hkd: 0
------------DATA COLLECTION------------

Desired Heading |       Actual Heading  |       Time (ms)
45              |       62              |       400
45              |       55              |       800
45              |       38              |       1600
45              |       31              |       2400
45              |       47              |       3200
45              |       64              |       4000
45              |       63              |       4400
45              |       58              |       4800
45              |       29              |       5600
45              |       25              |       6000
45              |       27              |       6400
45              |       39              |       6800
45              |       52              |       7200
45              |       69              |       7600
45              |       74              |       8000
45              |       69              |       8400
45              |       56              |       8800
45              |       31              |       9200
45              |       14              |       9600
45              |       10              |       10000
45              |       39              |       10400
45              |       66              |       10800
45              |       90              |       11200
45              |       115             |       11600
45              |       98              |       12000
45              |       52              |       12400
45              |       3               |       12800
45              |       314             |       13200
45              |       313             |       13600
45              |       8               |       14000
45              |       91              |       14400
45              |       211             |       14800
45              |       253             |       15200
45              |       311             |       15600
45              |       70              |       16000
45              |       172             |       16400
45              |       257             |       16800
45              |       342             |       17200fб
45              |       72              |       176b0
45              |       215             |       18000
45              |       269             |       18400
45              |       356             |       18800
45              |       94              |       19200
45              |       226             |       19600
45              |       223             |       20000
45              |       191             |       20400
